program,searcher,CovI,States,Queries,SolverTime_us,WallTime_s,CompletedPaths,NumBranches
train_00447,bfs,956,1,6894,13721,48256.0,0,122
train_00447,dfs,956,1,6894,15310,50314.0,0,122
train_00447,nurs_covnew,956,1,6894,13403,50024.0,0,122
train_00447,nurs_md2u,956,1,6894,14439,51053.0,0,122
train_00447,nurs_qc,956,1,6894,13231,49669.0,0,122
train_00447,random-path,956,1,6894,15476,50213.0,0,122
train_00449,bfs,957,5,6962,50407,85015.0,0,121
train_00449,dfs,957,5,6962,44421,79215.0,0,121
train_00449,nurs_covnew,957,5,6962,44516,80411.0,0,121
train_00449,nurs_md2u,957,5,6962,50510,86221.0,0,121
train_00449,nurs_qc,957,5,6962,42437,78868.0,0,121
train_00449,random-path,957,5,6962,44166,78693.0,0,121
train_00473,bfs,1401,4,9518727,25295,10029551.0,0,186
train_00473,dfs,1401,3,10048844,19947,10030283.0,0,186
train_00473,nurs_covnew,941,5,9041963,35780,10031807.0,0,186
train_00473,nurs_md2u,941,5,9213988,31908,10032208.0,0,186
train_00473,nurs_qc,941,5,9265839,30472,10033074.0,0,186
train_00473,random-path,942,5,9374534,33977,10029928.0,0,186
train_00503,bfs,945,1,6887,12086,50589.0,0,119
train_00503,dfs,945,1,6887,14766,53775.0,0,119
train_00503,nurs_covnew,945,1,6887,12294,54095.0,0,119
train_00503,nurs_md2u,945,1,6887,12086,53492.0,0,119
train_00503,nurs_qc,945,1,6887,12350,52815.0,0,119
train_00503,random-path,945,1,6887,12400,51854.0,0,119
train_00528,bfs,950,1,6886,11265,45504.0,0,120
train_00528,dfs,950,1,6886,12644,46761.0,0,120
train_00528,nurs_covnew,950,1,6886,11173,46798.0,0,120
train_00528,nurs_md2u,950,1,6886,12807,48601.0,0,120
train_00528,nurs_qc,950,1,6886,12081,48118.0,0,120
train_00528,random-path,950,1,6886,12354,47374.0,0,120
train_00539,bfs,952,1,6886,12024,57524.0,0,135
train_00539,dfs,952,1,6886,12224,57739.0,0,135
train_00539,nurs_covnew,952,1,6886,12488,60280.0,0,135
train_00539,nurs_md2u,952,1,6886,12141,59442.0,0,135
train_00539,nurs_qc,952,1,6886,13989,61063.0,0,135
train_00539,random-path,952,1,6886,13180,58173.0,0,135
train_00545,bfs,1138,5,7892,10836663,11238259.0,0,121
train_00545,dfs,1138,5,7892,10849336,11249809.0,0,121
train_00545,nurs_covnew,1138,5,7892,10793888,11189917.0,0,121
train_00545,nurs_md2u,1138,5,7892,10782944,11208449.0,0,121
train_00545,nurs_qc,1138,5,7863,10918396,11306567.0,0,121
train_00545,random-path,1138,5,7892,10723298,11130203.0,0,121
train_00549,bfs,948,1,6886,13864,48084.0,0,117
train_00549,dfs,948,1,6886,13154,47802.0,0,117
train_00549,nurs_covnew,948,1,6886,13460,49318.0,0,117
train_00549,nurs_md2u,948,1,6886,11074,47590.0,0,117
train_00549,nurs_qc,948,1,6886,15220,51220.0,0,117
train_00549,random-path,948,1,6886,12418,46761.0,0,117
train_00554,bfs,1315,1,7121,14153,50433.0,0,176
train_00554,dfs,1315,1,7121,14452,50988.0,0,176
train_00554,nurs_covnew,1315,1,7121,22609,61712.0,0,176
train_00554,nurs_md2u,1315,1,7121,17494,56263.0,0,176
