program,searcher,Instructions,CoveredInstr,UncoveredInstr,FullBranch,PartialBranch,TermExit,TermEarly,TermProgramError,NumStates,MallocUsage_B,Queries,WallTime_ms,SolverTime_ms
exp71_solver_cost_cliff,dfs,846986,219,125,12,3,40268,20,0,40288,1752312,443692,10010441.0,5601956
exp71_solver_cost_cliff,bfs,1527106,312,32,16,4,0,146218,0,146218,3728824,768129,43742505.0,13512251
exp71_solver_cost_cliff,random-path,1290626,312,32,16,4,0,92589,0,92589,2816960,638411,31374366.0,9990034
exp71_solver_cost_cliff,nurs:qc,1006608,312,32,16,4,0,69298,0,69298,2951656,496418,25998079.0,8861754
exp71_solver_cost_cliff,nurs:covnew,1009112,312,32,16,4,0,69481,0,69481,2951656,497679,25765564.0,8838578
exp71_solver_cost_cliff,nurs:md2u,1018043,312,32,16,4,0,70101,0,70101,2952544,502031,25981567.0,8886434
exp71_solver_cost_cliff,default,1150507,312,32,16,4,0,80301,0,80301,2845608,569235,28335053.0,8847313
exp72_distance_vs_novelty,dfs,4192702,234,0,13,0,35908,20,0,35928,1554432,2064951,10004662.0,3945192
exp72_distance_vs_novelty,bfs,1874695,123,111,8,1,0,141414,0,141414,3798088,970244,39983943.0,11193138
exp72_distance_vs_novelty,random-path,1678963,123,111,8,1,0,93077,0,93077,2991368,860595,29361273.0,8584337
exp72_distance_vs_novelty,nurs:qc,1306639,123,111,8,1,0,80736,0,80736,2884992,657802,27300526.0,7950132
exp72_distance_vs_novelty,nurs:covnew,1309643,123,111,8,1,0,80917,0,80917,2884992,659252,27212138.0,7922086
exp72_distance_vs_novelty,nurs:md2u,1323409,123,111,8,1,0,81775,0,81775,2884992,666129,27299498.0,7945167
exp72_distance_vs_novelty,default,1458125,123,111,8,1,0,78763,0,78763,2943624,747494,26471526.0,7441305
exp73_symbolic_write,dfs,6242,162,20,7,1,80,18,0,98,1641632,3384,10201857.0,10081526
exp73_symbolic_write,bfs,6229,172,10,7,1,11,125,0,136,1619120,3394,10281641.0,10163117
exp73_symbolic_write,random-path,7663,167,15,6,1,0,241,0,241,1621560,4272,10437442.0,10249932
exp73_symbolic_write,nurs:qc,7202,167,15,6,1,0,201,0,201,1627032,3982,10367010.0,10195853
exp73_symbolic_write,nurs:covnew,7580,167,15,6,1,0,248,0,248,1634272,4234,10361613.0,10164399
exp73_symbolic_write,nurs:md2u,7702,167,15,6,1,0,255,0,255,1645288,4307,10407119.0,10220573
exp73_symbolic_write,default,7767,167,15,6,1,0,251,0,251,1635920,4345,10393777.0,10201389
exp74_longjmp_sim,dfs,2324689,276,2,19,1,49587,15,0,49602,1565752,1072482,10004003.0,4684451
exp74_longjmp_sim,bfs,2430994,181,97,11,2,6057,131071,0,137128,2800832,1236278,37511104.0,11048385
exp74_longjmp_sim,random-path,1883220,162,116,11,0,0,81397,0,81397,3040304,942656,27228578.0,7857256
exp74_longjmp_sim,nurs:qc,1663898,266,12,16,2,26,83149,0,83175,2890656,823188,27902260.0,7765852
exp74_longjmp_sim,nurs:covnew,1720715,267,11,17,2,30,85523,0,85553,2891408,849857,28282980.0,7981855
exp74_longjmp_sim,nurs:md2u,1715601,266,12,16,2,30,85308,0,85338,2890656,847514,27929946.0,7887031
exp74_longjmp_sim,default,1552145,169,109,11,0,0,69900,0,69900,2994184,787427,24292431.0,6903250
exp75_symbolic_sort,dfs,595732,305,6,23,0,29810,24,0,29834,1786888,282814,10013190.0,6183215
exp75_symbolic_sort,bfs,1850705,120,191,8,1,0,139015,0,139015,3853800,958249,39209975.0,11050286
exp75_symbolic_sort,random-path,1644837,120,191,8,1,0,90268,0,90268,3047080,842884,28669583.0,8450647
exp75_symbolic_sort,nurs:qc,1305186,120,191,8,1,0,80349,0,80349,2916424,657510,27308496.0,7919340
exp75_symbolic_sort,nurs:covnew,1305504,120,191,8,1,0,80366,0,80366,2916424,657675,26973509.0,7890305
exp75_symbolic_sort,nurs:md2u,1305184,120,191,8,1,0,80348,0,80348,2916424,657507,26935083.0,7936293
exp75_symbolic_sort,default,1423881,120,191,8,1,0,77163,0,77163,2996656,730372,25889712.0,7408856
exp76_aliased_pointers,dfs,95010,253,14,13,2,2384,20,0,2404,8227544,48714,10035012.0,9037883
exp76_aliased_pointers,bfs,1834680,163,104,9,1,0,137390,0,137390,3814280,950249,39138496.0,11064630
exp76_aliased_pointers,random-path,1652366,163,104,9,1,0,90873,0,90873,3007560,846816,29045267.0,8535801
exp76_aliased_pointers,nurs:qc,1305360,163,104,9,1,0,79921,0,79921,2887920,658865,26979419.0,7860332
exp76_aliased_pointers,nurs:covnew,1310578,163,104,9,1,0,80223,0,80223,2887920,661415,26839714.0,7854056
exp76_aliased_pointers,nurs:md2u,1305895,163,104,9,1,0,79949,0,79949,2887920,659112,27288397.0,7861786
exp76_aliased_pointers,default,1441021,163,104,9,1,0,78050,0,78050,2946888,739278,26358345.0,7442493
exp77_constraint_explosion,dfs,521378,273,134,28,5,42491,18,0,42509,1745160,260684,10004884.0,5488429
exp77_constraint_explosion,bfs,1188461,249,158,22,0,0,120738,0,120738,2747392,580629,38004694.0,11845927
exp77_constraint_explosion,random-path,1009558,266,141,22,0,0,80083,0,80083,2820288,481434,28647448.0,9268608
exp77_constraint_explosion,nurs:qc,841310,342,65,30,1,0,66638,0,66638,3061952,397166,25807028.0,8753845
exp77_constraint_explosion,nurs:covnew,830772,342,65,30,1,0,65846,0,65846,3061952,392286,25749654.0,8739156
