program,searcher,Instructions,CoveredInstr,UncoveredInstr,FullBranch,PartialBranch,TermExit,TermEarly,TermProgramError,NumStates,MallocUsage_B,Queries,WallTime_ms,SolverTime_ms
exp91_shallow_spread,dfs,953896,171,180,9,0,36633,40,0,36673,1752176,550401,10011352.0,5564111
exp91_shallow_spread,bfs,1862832,346,5,8,1,0,166334,0,166334,3789160,1018640,44246651.0,12210605
exp91_shallow_spread,random-path,1495630,346,5,8,1,0,102215,0,102215,2845480,822421,30299980.0,8679247
exp91_shallow_spread,nurs:qc,1179282,346,5,8,1,0,75430,0,75430,3052064,645968,24957032.0,7615106
exp91_shallow_spread,nurs:covnew,1144537,346,5,8,1,0,73151,0,73151,3051176,626851,25043339.0,7681784
exp91_shallow_spread,nurs:md2u,1168762,346,5,8,1,0,74731,0,74731,3052064,640153,25058123.0,7598509
exp91_shallow_spread,default,1172931,346,5,8,1,0,76231,0,76231,3016656,643899,25434705.0,7500075
exp92_infeasible_lure,dfs,4499,180,102,6,6,224,0,0,224,1300504,2232,191036.0,176156
exp92_infeasible_lure,bfs,4499,180,102,6,6,224,0,0,224,1300632,2232,179687.0,164392
exp92_infeasible_lure,random-path,4499,180,102,6,6,224,0,0,224,1302920,2232,182342.0,164814
exp92_infeasible_lure,nurs:qc,4499,180,102,6,6,224,0,0,224,1309800,2232,187107.0,168411
exp92_infeasible_lure,nurs:covnew,4499,180,102,6,6,224,0,0,224,1309800,2232,180622.0,162017
exp92_infeasible_lure,nurs:md2u,4499,180,102,6,6,224,0,0,224,1309800,2232,183733.0,165064
exp92_infeasible_lure,default,4499,180,102,6,6,224,0,0,224,1309104,2232,175882.0,156946
exp93_breadth_lottery,dfs,807638,164,342,9,0,31012,63,0,31075,1866288,466046,10010907.0,5724484
exp93_breadth_lottery,bfs,1998969,500,6,8,1,0,175701,0,175701,3910248,1095465,44833838.0,12567789
exp93_breadth_lottery,random-path,1510500,500,6,8,1,0,100564,0,100564,2970824,832630,30160650.0,8873273
exp93_breadth_lottery,nurs:qc,1208717,500,6,8,1,0,75227,0,75227,3089304,664151,24817649.0,7740815
exp93_breadth_lottery,nurs:covnew,1208040,500,6,8,1,0,75185,0,75185,3089304,663807,24754654.0,7749587
exp93_breadth_lottery,nurs:md2u,1221438,500,6,8,1,0,76072,0,76072,3089304,671077,25052388.0,7786077
