program,searcher,Instructions,CoveredInstr,UncoveredInstr,FullBranch,PartialBranch,TermExit,TermEarly,TermProgramError,NumStates,MallocUsage_B,Queries,WallTime_ms,SolverTime_ms
exp81_setjmp_web,dfs,36223,217,12,10,2,744,16,0,760,2441480,17258,30537664.0,30119544
exp81_setjmp_web,bfs,6166134,217,12,10,2,56,251068,0,251124,3607776,2877766,89099913.0,30682615
exp81_setjmp_web,random-path,6327114,182,47,8,2,0,227183,0,227183,3369888,2967519,85247712.0,18421741
exp81_setjmp_web,nurs:qc,4617178,217,12,10,2,14,145503,0,145517,3494992,2123933,64342462.0,16056911
exp81_setjmp_web,nurs:covnew,4655052,217,12,10,2,8,146854,0,146862,3483760,2141910,64719231.0,15738383
exp81_setjmp_web,nurs:md2u,4638808,217,12,10,2,8,146258,0,146266,3481840,2134348,64151998.0,15452566
exp81_setjmp_web,default,5600848,182,47,8,2,0,176403,0,176403,3371224,2592620,71555200.0,14613589
exp82_bitfield_fsm,dfs,47255,216,43,8,12,578,22,0,600,3152296,24285,30250191.0,29893973
exp82_bitfield_fsm,bfs,421124,107,152,1,2,0,26714,0,26714,3782832,249886,35052396.0,29614759
exp82_bitfield_fsm,random-path,246749,210,49,7,13,3,8990,0,8993,3957440,123514,34825896.0,30489555
exp82_bitfield_fsm,nurs:qc,336018,148,111,4,5,0,10800,0,10800,3457736,165471,32324114.0,25841505
exp82_bitfield_fsm,nurs:covnew,358878,154,105,4,6,0,11471,0,11471,3606216,176583,32418400.0,26156018
exp82_bitfield_fsm,nurs:md2u,338848,150,109,4,5,0,10873,0,10873,3479088,166782,32290730.0,25722789
exp82_bitfield_fsm,default,241161,179,80,8,5,0,8491,0,8491,3624384,120227,32345513.0,27074939
exp83_symbolic_div,dfs,491538,274,17,22,1,19020,12,0,19032,2678968,221870,30324217.0,26742623
exp83_symbolic_div,bfs,2468117,261,30,20,2,32672,196417,0,229089,4179856,1230624,97075608.0,48486913
exp83_symbolic_div,random-path,2044546,268,23,21,1,43565,127499,0,171064,2949264,986563,69112419.0,30401174
exp83_symbolic_div,nurs:qc,1674547,290,1,22,1,50745,62949,0,113694,2517096,784651,48641690.0,22665450
exp83_symbolic_div,nurs:covnew,1663127,290,1,22,1,50357,62660,0,113017,2512824,779232,48521317.0,22657974
exp83_symbolic_div,nurs:md2u,1665629,290,1,22,1,50444,62725,0,113169,2515256,780408,48660824.0,22730066
exp83_symbolic_div,default,1838415,271,20,21,1,40481,111288,0,151769,2937824,883101,63219422.0,26852496
exp84_knot_cfg,dfs,37466874,184,35,18,2,35,12,0,47,1228784,13624606,30002680.0,6904202
exp84_knot_cfg,bfs,36460001,216,3,18,2,513,7176,0,7689,1531648,13276509,31240521.0,7601806
exp84_knot_cfg,random-path,19045973,216,3,18,2,34816,512,0,35328,1475168,7209818,30084162.0,7799866
exp84_knot_cfg,nurs:qc,16685523,216,3,18,2,34816,512,0,35328,1475256,6351483,30084856.0,7226713
exp84_knot_cfg,nurs:covnew,16504324,216,3,18,2,34816,512,0,35328,1475256,6285603,30084721.0,7200865
exp84_knot_cfg,nurs:md2u,16641091,216,3,18,2,34816,512,0,35328,1475256,6335335,30085484.0,7225433
exp84_knot_cfg,default,15327124,216,3,18,2,34816,512,0,35328,1477664,5857519,30084874.0,6896755
exp85_poison_path,dfs,137456,262,26,18,3,5930,13,0,5943,1503984,65156,30551595.0,29875806
exp85_poison_path,bfs,4447492,163,125,13,0,0,400997,0,400997,5970096,2272053,133742129.0,35932323
exp85_poison_path,random-path,3771140,182,106,13,0,0,290617,0,290617,6222840,1929704,104917625.0,28442438
exp85_poison_path,nurs:qc,822573,223,65,15,2,0,56533,0,56533,2420680,418350,43083865.0,29770726
exp85_poison_path,nurs:covnew,913364,217,71,15,2,0,62799,0,62799,2409576,464893,44062002.0,29296527
exp85_poison_path,nurs:md2u,914419,217,71,15,2,0,62854,0,62854,2409576,465385,44075930.0,29272137
exp85_poison_path,default,2357235,196,92,13,1,0,171522,0,171522,4075848,1227814,70908532.0,26942114
exp86_duffs_device,dfs,7229865,238,3,14,1,130560,0,0,130560,1503896,3397716,29430727.0,13419877
exp86_duffs_device,bfs,7229865,238,3,14,1,130560,0,0,130560,1503528,3397716,29976273.0,13743197
exp86_duffs_device,random-path,5970805,238,3,14,1,52321,78239,0,130560,2555568,2754384,49535036.0,14573430
exp86_duffs_device,nurs:qc,5356900,238,3,14,1,49392,70639,0,120031,2556720,2458886,47302381.0,13286088
exp86_duffs_device,nurs:covnew,5395337,238,3,14,1,50158,70254,0,120412,2556720,2477703,47176336.0,13267907
exp86_duffs_device,nurs:md2u,5392085,238,3,14,1,50094,70282,0,120376,2556720,2476111,47101690.0,13261052
exp86_duffs_device,default,5179500,238,3,14,1,39959,84285,0,124244,2558216,2356693,50781799.0,13395472
exp87_convergent_paths,dfs,7036428,279,32,22,2,155197,10,0,155207,1606072,3503664,30003855.0,13038253
exp87_convergent_paths,bfs,3932270,275,36,20,4,2,458736,0,458738,6021096,2097182,147097456.0,38151206
exp87_convergent_paths,random-path,3631396,245,66,20,0,0,322725,0,322725,6265968,1885071,111014092.0,29918231
exp87_convergent_paths,nurs:qc,4254777,299,12,22,2,2751,278130,0,280881,6051984,2192027,100254679.0,26379563
exp87_convergent_paths,nurs:covnew,4297676,299,12,22,2,2803,280464,0,283267,6051984,2214490,100311109.0,26466640
exp87_convergent_paths,nurs:md2u,4299125,299,12,22,2,2805,280566,0,283371,6051984,2215297,100627829.0,26459322
exp87_convergent_paths,default,3341614,260,51,22,0,0,286454,0,286454,6199048,1718276,101140466.0,26582063
exp88_array_symbolic_len,dfs,2935565,228,2,10,1,65280,0,0,65280,1498280,1630982,17122507.0,9756331
exp88_array_symbolic_len,bfs,2935565,228,2,10,1,65280,0,0,65280,1498280,1630982,17449900.0,9948222
exp88_array_symbolic_len,random-path,2935565,228,2,10,1,65280,0,0,65280,1500200,1630982,21137616.0,10458446
exp88_array_symbolic_len,nurs:qc,2935565,228,2,10,1,65280,0,0,65280,1502704,1630982,22625521.0,10720696
exp88_array_symbolic_len,nurs:covnew,2935565,228,2,10,1,65280,0,0,65280,1502704,1630982,22796578.0,10810390
exp88_array_symbolic_len,nurs:md2u,2935565,228,2,10,1,65280,0,0,65280,1502704,1630982,22778438.0,10792901
exp88_array_symbolic_len,default,2935565,228,2,10,1,65280,0,0,65280,1504424,1630982,23199811.0,10617435
