program,searcher,Instructions,CoveredInstr,UncoveredInstr,FullBranch,PartialBranch,TermExit,TermEarly,TermProgramError,NumStates,MallocUsage_B,Queries,WallTime_ms,SolverTime_ms
exp103_multi_table_write,dfs,600347,234,116,13,0,28528,18,0,28546,1740336,314516,10010137.0,6347291
exp103_multi_table_write,bfs,1090641,348,2,12,1,0,103211,0,103211,2718168,549488,54386748.0,19367803
exp103_multi_table_write,random-path,1115920,348,2,12,1,0,77931,0,77931,2824552,550729,44068167.0,15055082
exp103_multi_table_write,nurs:qc,828181,348,2,12,1,0,56621,0,56621,2502088,408647,33617991.0,11952274
exp103_multi_table_write,nurs:covnew,829813,348,2,12,1,0,56751,0,56751,2502088,409446,33667034.0,11948912
exp103_multi_table_write,nurs:md2u,828689,348,2,12,1,0,56646,0,56646,2502088,408868,33687385.0,11934049
exp103_multi_table_write,default,1010503,348,2,12,1,0,70667,0,70667,2813688,500554,40022189.0,13932207
exp104_write_then_dispatch,dfs,2095,239,0,3,0,72,0,0,72,1364408,1160,1711222.0,1688533
exp104_write_then_dispatch,bfs,2095,239,0,3,0,72,0,0,72,1364472,1160,1644106.0,1623634
exp104_write_then_dispatch,random-path,2095,239,0,3,0,72,0,0,72,1364472,1160,1558295.0,1508410
exp104_write_then_dispatch,nurs:qc,2095,239,0,3,0,72,0,0,72,1369560,1160,1680191.0,1656716
exp104_write_then_dispatch,nurs:covnew,2095,239,0,3,0,72,0,0,72,1369560,1160,1504349.0,1494213
exp104_write_then_dispatch,nurs:md2u,2095,239,0,3,0,72,0,0,72,1369560,1160,1616605.0,1592027
exp104_write_then_dispatch,default,2095,239,0,3,0,72,0,0,72,1369552,1160,1627746.0,1604745
exp105_constraint_diversity,dfs,3603,254,0,5,0,64,0,0,64,1317544,1962,225468.0,215485
exp105_constraint_diversity,bfs,3603,254,0,5,0,64,0,0,64,1317544,1962,232248.0,222384
exp105_constraint_diversity,random-path,3603,254,0,5,0,64,0,0,64,1319592,1962,254690.0,239683
exp105_constraint_diversity,nurs:qc,3603,254,0,5,0,64,0,0,64,1326928,1962,234160.0,223328
exp105_constraint_diversity,nurs:covnew,3603,254,0,5,0,64,0,0,64,1326928,1962,240575.0,229754
exp105_constraint_diversity,nurs:md2u,3603,254,0,5,0,64,0,0,64,1326928,1962,236232.0,225319
exp105_constraint_diversity,default,3603,254,0,5,0,64,0,0,64,1328824,1962,236779.0,225997
exp106_hash_map_sim,dfs,6697,322,52,8,4,104,10,0,114,1637992,3185,10624900.0,10536176
exp106_hash_map_sim,bfs,14995,361,13,8,5,0,285,0,285,1905112,6995,10301432.0,10067875
exp106_hash_map_sim,random-path,15681,361,13,8,5,0,249,0,249,1878448,7377,10377223.0,10110539
exp106_hash_map_sim,nurs:qc,18157,363,11,9,4,7,244,0,251,1947104,8442,10273511.0,10127350
exp106_hash_map_sim,nurs:covnew,17833,361,13,8,5,0,245,0,245,1940144,8487,10326980.0,10075815
exp106_hash_map_sim,nurs:md2u,17554,361,13,8,5,0,236,0,236,1922232,8346,10264261.0,9963384
exp106_hash_map_sim,default,16134,361,13,8,5,0,246,0,246,1897776,7630,10416577.0,10116069
exp107_minimal_bfs_win,dfs,100029,229,0,13,0,8192,0,0,8192,1319376,50029,3256449.0,2412729
