program,searcher,Instructions,CoveredInstr,UncoveredInstr,FullBranch,PartialBranch,TermExit,TermEarly,TermProgramError,NumStates,MallocUsage_B,Queries,WallTime_ms,SolverTime_ms
exp61_scaled_pointer_chase,dfs,217147,260,14,12,5,6624,67,0,6691,1467600,142148,11480714.0,10025303
exp61_scaled_pointer_chase,bfs,85844,251,23,12,2,0,39421,0,39421,1943160,166362,23784607.0,13210409
exp61_scaled_pointer_chase,random-path,228264,268,6,15,2,3985,20781,0,24766,1719776,198728,17805413.0,10610175
exp61_scaled_pointer_chase,nurs:qc,350627,251,23,12,2,0,32491,0,32491,1705632,268558,22840619.0,13064777
exp61_scaled_pointer_chase,nurs:covnew,348024,251,23,12,2,0,32566,0,32566,1705024,267544,22930722.0,13131153
exp61_scaled_pointer_chase,nurs:md2u,347111,251,23,12,2,0,32461,0,32461,1703360,266790,22625260.0,12979320
exp61_scaled_pointer_chase,default,294035,268,6,15,2,2977,21414,0,24391,1727208,225225,18039407.0,10535747
exp62_asymmetric_cost,dfs,599435,416,118,40,0,37451,29,0,37480,1546608,313773,10009034.0,5703273
exp62_asymmetric_cost,bfs,1556052,534,0,40,0,7297,145962,0,153259,3774496,813524,41042092.0,11700437
exp62_asymmetric_cost,random-path,1349693,534,0,40,0,3905,101076,0,104981,2770480,699216,31955765.0,8689355
exp62_asymmetric_cost,nurs:qc,1232030,534,0,40,0,212,87172,0,87384,2813896,623867,28813000.0,7846634
exp62_asymmetric_cost,nurs:covnew,1229967,534,0,40,0,211,87046,0,87257,2813896,622869,28389448.0,7828616
exp62_asymmetric_cost,nurs:md2u,1233060,534,0,40,0,212,87249,0,87461,2815120,624387,28747715.0,7897479
exp62_asymmetric_cost,default,1214546,534,0,40,0,3038,87315,0,90353,2782600,623971,28072981.0,7538866
exp63_fib_tree,dfs,921973,204,47,11,2,43768,18,0,43786,1700656,482830,10004537.0,5411935
exp63_fib_tree,bfs,1568730,212,39,10,3,0,153209,0,153209,3707344,785772,43927398.0,12504446
exp63_fib_tree,random-path,1438975,212,39,10,3,0,108558,0,108558,2767840,713019,34211572.0,9757769
exp63_fib_tree,nurs:qc,1208645,212,39,10,3,0,75312,0,75312,2991376,607859,27845247.0,8471229
exp63_fib_tree,nurs:covnew,1201655,212,39,10,3,0,74884,0,74884,2990088,604299,27955779.0,8488639
exp63_fib_tree,nurs:md2u,1214065,212,39,10,3,0,75643,0,75643,2991376,610582,27977282.0,8466019
exp63_fib_tree,default,1245858,212,39,10,3,0,89825,0,89825,2767144,612776,29343926.0,8367645
exp64_breadcrumb_trail,dfs,3817011,244,0,12,0,38164,19,0,38183,1571096,1933979,10004600.0,4164421
exp64_breadcrumb_trail,bfs,1872552,120,124,8,1,0,141200,0,141200,3801600,969172,39995047.0,11172436
exp64_breadcrumb_trail,random-path,1662616,120,124,8,1,0,91752,0,91752,2994880,852180,29100260.0,8544184
exp64_breadcrumb_trail,nurs:qc,1316619,120,124,8,1,0,81095,0,81095,2866144,663323,27105244.0,7917417
exp64_breadcrumb_trail,nurs:covnew,1341816,120,124,8,1,0,82661,0,82661,2866144,675999,27448262.0,7938114
exp64_breadcrumb_trail,nurs:md2u,1336678,120,124,8,1,0,82349,0,82349,2866144,673414,27233162.0,7937207
exp64_breadcrumb_trail,default,1466579,120,124,8,1,0,79226,0,79226,2945504,751588,26345038.0,7492747
