program,searcher,Instructions,CoveredInstr,UncoveredInstr,FullBranch,PartialBranch,TermExit,TermEarly,TermProgramError,NumStates,MallocUsage_B,Queries,WallTime_ms,SolverTime_ms
exp114_write5_read3,dfs,9011,163,0,5,0,128,0,0,128,1446568,4516,5468070.0,5391777
exp114_write5_read3,bfs,9011,163,0,5,0,128,0,0,128,1446568,4516,5468981.0,5404528
exp114_write5_read3,random-path,9011,163,0,5,0,128,0,0,128,1446568,4516,5469431.0,5398027
exp114_write5_read3,nurs:qc,9011,163,0,5,0,128,0,0,128,1449656,4516,5537056.0,5454778
exp114_write5_read3,nurs:covnew,9011,163,0,5,0,128,0,0,128,1449656,4516,5534408.0,5451496
exp114_write5_read3,nurs:md2u,9011,163,0,5,0,128,0,0,128,1449656,4516,5527396.0,5444462
exp114_write5_read3,default,9011,163,0,5,0,128,0,0,128,1449648,4516,5466803.0,5390918
exp115_small_table,dfs,9393,172,10,7,1,139,5,0,144,1697904,5042,10159837.0,10094234
exp115_small_table,bfs,7070,172,10,7,1,21,208,0,229,1698312,3920,10311246.0,10142549
exp115_small_table,random-path,8514,167,15,6,1,0,287,0,287,1709272,4755,10351536.0,10128404
exp115_small_table,nurs:qc,9536,182,0,8,0,7,321,0,328,1791424,5349,10439539.0,10243976
exp115_small_table,nurs:covnew,9873,167,15,6,1,0,354,0,354,1804784,5547,10370627.0,10198909
exp115_small_table,nurs:md2u,8828,167,15,6,1,0,315,0,315,1733848,4949,10365626.0,10112762
exp115_small_table,default,8603,167,15,6,1,0,302,0,302,1721480,4814,10417230.0,10174580
exp116_more_reads,dfs,3139,234,0,7,0,64,0,0,64,1379696,1539,2122615.0,2089937
exp116_more_reads,bfs,3139,234,0,7,0,64,0,0,64,1379696,1539,2071955.0,2046526
exp116_more_reads,random-path,3139,234,0,7,0,64,0,0,64,1379696,1539,2091448.0,2060954
exp116_more_reads,nurs:qc,3139,234,0,7,0,64,0,0,64,1384296,1539,1909690.0,1896191
exp116_more_reads,nurs:covnew,3139,234,0,7,0,64,0,0,64,1384296,1539,2052111.0,2020080
exp116_more_reads,nurs:md2u,3139,234,0,7,0,64,0,0,64,1384296,1539,2103424.0,2071596
exp116_more_reads,default,3139,234,0,7,0,64,0,0,64,1384288,1539,2056583.0,2027450
